id,track_id,genre_allmusic,trackname,popularity,preview_url,track_number,firstartist,imageurl,spotifyurl,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,density,baseline_ranking,baseline_score
15,7yCiB5SKKm9guqoonT9kVI,classical,"Water Music Suite No. 1 In F, HWV 348: 2. Adagio e staccato",58,,2,George Frideric Handel,https://i.scdn.co/image/ab67616d00001e0299fb351fb46ad3eab6e1689e,https://open.spotify.com/track/7yCiB5SKKm9guqoonT9kVI,0.95,0.201,133840,0.036,0.891,1,0.116,-24.204,0.0445,106.02,4,0.0842,135.7743758,1378,2123
16,3nbcin8kl89hboxQBKaLR0,classical,"Manon Lescaut / Act 2: ""In quelle trine morbide""",43,,11,Giacomo Puccini,https://i.scdn.co/image/ab67616d00001e02f859034db6e83a71632e03b0,https://open.spotify.com/track/3nbcin8kl89hboxQBKaLR0,0.987,0.181,167787,0.114,0.0779,10,0.1,-17.469,0.0501,168.13,4,0.0383,3399.922569,222,3279
17,6opPrJUpq4Pl5c84eCwLmo,classical,Gabriel's Oboe,63,,3,Ennio Morricone,https://i.scdn.co/image/ab67616d00001e02f126b5a1693a25b14396ad94,https://open.spotify.com/track/6opPrJUpq4Pl5c84eCwLmo,0.96,0.233,134133,0.195,0.914,2,0.0793,-17.202,0.0461,61.211,4,0.0675,155.821534,1248,2253
18,3TkuMS1MdVmLN6IBd9qpOt,classical,Danza Hungara Nº5,47,https://p.scdn.co/mp3-preview/45f6be87793bcdfebc47edc3808f402446124f88?cid=9fdb4c15be18472b830ea3f6f9779309,3,Johannes Brahms,https://i.scdn.co/image/ab67616d00001e029cb08a2f9804ac4103231eca,https://open.spotify.com/track/3TkuMS1MdVmLN6IBd9qpOt,0.83,0.33,177613,0.159,0.4,7,0.145,-15.943,0.0486,143.229,4,0.33,5.668184706,2642,859
19,6DbYlWb6hAB4lOnOMWoR8F,classical,"Cello Concerto in E Minor, Op.85 (1997 - Remaster): I. Adagio - Moderato",42,https://p.scdn.co/mp3-preview/5c6512f60a046f9dfbf0f0af318eb081eb1a7bf8?cid=9fdb4c15be18472b830ea3f6f9779309,1,Edward Elgar,https://i.scdn.co/image/ab67616d00001e028cbb816c087fdb4597e8e990,https://open.spotify.com/track/6DbYlWb6hAB4lOnOMWoR8F,0.952,0.124,481867,0.0978,0.218,4,0.112,-22.849,0.0432,96.309,4,0.0433,1565.979867,559,2942
20,2otEJWkJVqEBV4sRRfkGMz,classical,Epilogue,58,,16,Dario Marianelli,https://i.scdn.co/image/ab67616d00001e02c71e180bad76d6e5ed732edb,https://open.spotify.com/track/2otEJWkJVqEBV4sRRfkGMz,0.975,0.19,311667,0.0739,0.11,4,0.0725,-21.4,0.0333,99.994,4,0.0786,149.1726129,1291,2210
21,2uRVPeQbsEpRQD0DKr1WTo,country,Blue Eyes Crying In the Rain,63,https://p.scdn.co/mp3-preview/cb60c3ec48c32df54cd3af02804ed1d3817aa387?cid=9fdb4c15be18472b830ea3f6f9779309,5,Willie Nelson,https://i.scdn.co/image/ab67616d00001e020e5489389aa853f454a4b1e8,https://open.spotify.com/track/2uRVPeQbsEpRQD0DKr1WTo,0.928,0.626,138600,0.04,0.00178,4,0.11,-19.994,0.0405,117.136,4,0.418,2.241434191,1876,671
22,7fRruZ12gXGwBs0zXQ6e5V,country,Babe,64,,7,Sugarland,https://i.scdn.co/image/ab67616d00001e0233452cbadb9db9189edd7250,https://open.spotify.com/track/7fRruZ12gXGwBs0zXQ6e5V,0.0187,0.535,215107,0.777,1.62e-06,4,0.136,-3.292,0.207,171.72,4,0.664,8.649252465,527,2020
23,6LCEyZZHFF4ebF1Mike1s5,country,Not Ready to Make Nice,65,https://p.scdn.co/mp3-preview/48dd6ee93b20f328eca9f4613ce31508d687504c?cid=9fdb4c15be18472b830ea3f6f9779309,3,The Chicks,https://i.scdn.co/image/ab67616d00001e0289ccaf21947f7929189654dc,https://open.spotify.com/track/6LCEyZZHFF4ebF1Mike1s5,0.134,0.425,237297,0.554,8.56e-05,6,0.0963,-4.145,0.0298,83.917,4,0.288,4.988259917,1150,1397
24,3xx0jE52PbtvwXgNaBUdch,country,Deeper Than the Holler,67,https://p.scdn.co/mp3-preview/f05fea216853a4ed849f24aeef4ac1af98b41a60?cid=9fdb4c15be18472b830ea3f6f9779309,2,Randy Travis,https://i.scdn.co/image/ab67616d00001e02f0ab934553fbf2c5816c3f7b,https://open.spotify.com/track/3xx0jE52PbtvwXgNaBUdch,0.29,0.647,219080,0.482,0,5,0.232,-8.591,0.0262,142.648,4,0.437,9.361615594,447,2100
