subject,rating_col,rating,song_id,genre_allmusic,trackname,danceability,valence,energy,acousticness,instrumentalness,speechiness,liveness,tempo,loudness,density,like_label,danceability_like,valence_like,energy_like,acousticness_like,instrumentalness_like,speechiness_like,liveness_like,tempo_like,loudness_like,density_like,preferred_genre
S159,s10r,4.0,10,pop-rock,Ramble On - 1990 Remaster,0.468,0.886,0.607,0.072,0.000852,0.0336,0.225,98.429,-11.367,8.623594407,like,0.520125,0.4497375,0.462975,0.42053524999999997,0.12602436250000001,0.05455,0.23975,111.542875,-12.444375,207.589514615125,pop-rock
S159,s34r,3.0,34,electronic,Colours,0.628,0.107,0.814,0.0277,2.34e-05,0.1,0.138,125.016,-5.743,5.17035846,neutral,0.520125,0.4497375,0.462975,0.42053524999999997,0.12602436250000001,0.05455,0.23975,111.542875,-12.444375,207.589514615125,pop-rock
S159,s26r,2.0,26,country,Aw Naw,0.652,0.491,0.859,0.0639,0.0,0.0358,0.0777,109.971,-3.746,2.987504699,dislike,0.520125,0.4497375,0.462975,0.42053524999999997,0.12602436250000001,0.05455,0.23975,111.542875,-12.444375,207.589514615125,pop-rock
S159,s3r,4.0,3,pop-rock,Centerfold,0.653,0.888,0.677,0.249,0.0,0.0396,0.403,114.37,-12.244,19.30405677,like,0.520125,0.4497375,0.462975,0.42053524999999997,0.12602436250000001,0.05455,0.23975,111.542875,-12.444375,207.589514615125,pop-rock
S159,s60r,4.0,60,rnb,Between the Sheets,0.719,0.575,0.377,0.661,0.0,0.0974,0.0902,83.919,-12.585,4.909530227,like,0.520125,0.4497375,0.462975,0.42053524999999997,0.12602436250000001,0.05455,0.23975,111.542875,-12.444375,207.589514615125,pop-rock
S159,s1r,4.0,1,pop-rock,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",0.601,0.673,0.703,0.175,8.4e-05,0.0379,0.571,106.164,-6.24,19.36528286,like,0.520125,0.4497375,0.462975,0.42053524999999997,0.12602436250000001,0.05455,0.23975,111.542875,-12.444375,207.589514615125,pop-rock
S159,s20r,2.0,20,classical,Epilogue,0.19,0.0786,0.0739,0.975,0.11,0.0333,0.0725,99.994,-21.4,149.1726129,dislike,0.520125,0.4497375,0.462975,0.42053524999999997,0.12602436250000001,0.05455,0.23975,111.542875,-12.444375,207.589514615125,pop-rock
S159,s14r,3.0,14,classical,"Organ Sonata No. 4, BWV 528: 2. Andante [Adagio] (Transcr. by August Stradal)",0.384,0.0618,0.0414,0.992,0.897,0.0378,0.0684,71.224,-23.019,865.4244028,neutral,0.520125,0.4497375,0.462975,0.42053524999999997,0.12602436250000001,0.05455,0.23975,111.542875,-12.444375,207.589514615125,pop-rock
S159,s42r,5.0,42,rap,HUMBLE.,0.908,0.421,0.621,0.000282,5.39e-05,0.102,0.0958,150.011,-6.638,21.33760309,like,0.520125,0.4497375,0.462975,0.42053524999999997,0.12602436250000001,0.05455,0.23975,111.542875,-12.444375,207.589514615125,pop-rock
S159,s33r,3.0,33,electronic,Arguru 2k19,0.702,0.284,0.603,0.0253,0.802,0.0519,0.118,128.0,-7.532,16.6168163,neutral,0.520125,0.4497375,0.462975,0.42053524999999997,0.12602436250000001,0.05455,0.23975,111.542875,-12.444375,207.589514615125,pop-rock
